              Lexeme  Line no.     TOKEN_NAME     valueIfNum                  ParentSymbol          isLeafNode                    NodeSymbol


               _sumN         4       TK_FUNID           ----                    <function>                 Yes                          ----
                ----      ----           ----           ----              <otherFunctions>                  No                    <function>
               input         4       TK_INPUT           ----                   <input_par>                 Yes                          ----
                ----      ----           ----           ----                    <function>                  No                   <input_par>
           parameter         4   TK_PARAMETER           ----                   <input_par>                 Yes                          ----
                list         4        TK_LIST           ----                   <input_par>                 Yes                          ----
                   [         4         TK_SQL           ----                   <input_par>                 Yes                          ----
                 int         4         TK_INT           ----           <primitiveDatatype>                 Yes                          ----
                ----      ----           ----           ----                    <dataType>                  No           <primitiveDatatype>
                ----      ----           ----           ----              <parameter_list>                  No                    <dataType>
                ----      ----           ----           ----                   <input_par>                  No              <parameter_list>
              d5cc34         4          TK_ID           ----              <parameter_list>                 Yes                          ----
                ----      ----        Epsilon           ----              <remaining_list>                 Yes                          ----
                ----      ----           ----           ----              <parameter_list>                  No              <remaining_list>
                   ]         4         TK_SQR           ----                   <input_par>                 Yes                          ----
              output         5      TK_OUTPUT           ----                  <output_par>                 Yes                          ----
                ----      ----           ----           ----                    <function>                  No                  <output_par>
           parameter         5   TK_PARAMETER           ----                  <output_par>                 Yes                          ----
                list         5        TK_LIST           ----                  <output_par>                 Yes                          ----
                   [         5         TK_SQL           ----                  <output_par>                 Yes                          ----
                real         5        TK_REAL           ----           <primitiveDatatype>                 Yes                          ----
                ----      ----           ----           ----                    <dataType>                  No           <primitiveDatatype>
                ----      ----           ----           ----              <parameter_list>                  No                    <dataType>
                ----      ----           ----           ----                  <output_par>                  No              <parameter_list>
                  d3         5          TK_ID           ----              <parameter_list>                 Yes                          ----
                ----      ----        Epsilon           ----              <remaining_list>                 Yes                          ----
                ----      ----           ----           ----              <parameter_list>                  No              <remaining_list>
                   ]         5         TK_SQR           ----                  <output_par>                 Yes                          ----
                   ;         5         TK_SEM           ----                    <function>                 Yes                          ----
                ----      ----        Epsilon           ----             <typeDefinitions>                 Yes                          ----
                ----      ----           ----           ----                       <stmts>                  No             <typeDefinitions>
                ----      ----           ----           ----                    <function>                  No                       <stmts>
                type         6        TK_TYPE           ----                 <declaration>                 Yes                          ----
                ----      ----           ----           ----                <declarations>                  No                 <declaration>
                 int         6         TK_INT           ----           <primitiveDatatype>                 Yes                          ----
                ----      ----           ----           ----                    <dataType>                  No           <primitiveDatatype>
                ----      ----           ----           ----                 <declaration>                  No                    <dataType>
                   :         6       TK_COLON           ----                 <declaration>                 Yes                          ----
              b5b567         6          TK_ID           ----                 <declaration>                 Yes                          ----
                ----      ----        Epsilon           ----               <global_or_not>                 Yes                          ----
                ----      ----           ----           ----                 <declaration>                  No               <global_or_not>
                   ;         6         TK_SEM           ----                 <declaration>                 Yes                          ----
                ----      ----           ----           ----                       <stmts>                  No                <declarations>
                ----      ----        Epsilon           ----                <declarations>                 Yes                          ----
                ----      ----           ----           ----                <declarations>                  No                <declarations>
              b5b567         7          TK_ID           ----               <singleOrRecId>                 Yes                          ----
                ----      ----           ----           ----              <assignmentStmt>                  No               <singleOrRecId>
                ----      ----        Epsilon           ----   <option_single_constructed>                 Yes                          ----
